timestamp,temperature_forecast,humidity_forecast,pressure_forecast,wind_speed_forecast,zscore_forecast,rolling_mean_forecast,rolling_std_forecast,first_difference_forecast
2024-03-28 01:00:00,23.747076,54.43378,1009.714,3.1160731,-0.24402888,21.830124,5.1374135,-3.8870265
2024-03-28 02:00:00,23.654305,59.40058,1010.43726,2.8856633,-0.26285282,22.734476,5.6168227,-2.2256277
2024-03-28 03:00:00,23.89881,61.169807,1011.35297,2.9294906,-0.21324065,23.62569,5.8357525,-2.6917129
2024-03-28 04:00:00,23.030428,53.82091,1012.2255,2.6356328,-0.38944367,24.606241,6.1369367,-0.8852773
2024-03-28 05:00:00,25.315483,55.340492,1012.80945,3.3034894,0.07421629,24.795956,6.187437,4.5845914
2024-03-28 06:00:00,27.859388,56.794544,1013.5156,2.599752,0.5903999,25.632479,5.219073,7.2315354
2024-03-28 07:00:00,25.010447,60.865055,1012.2051,2.9383526,0.012321411,27.36301,6.0631557,-5.55447
2024-03-28 08:00:00,24.175138,60.199524,1012.384,2.7577295,-0.15717068,27.861444,6.02746,2.8436007
2024-03-28 09:00:00,23.28477,56.75259,1017.4431,3.1479967,-0.3378352,26.937227,5.3796268,-0.9326196
2024-03-28 10:00:00,21.732075,60.399822,1006.7308,2.9005764,-0.65289223,26.343035,5.3672867,-3.497268
2024-03-28 11:00:00,25.35497,53.068924,1011.8166,3.4036715,0.08222894,25.406206,5.5173173,0.6050701
2024-03-28 12:00:00,25.813425,58.762085,1014.166,2.9377296,0.17525384,25.199915,5.3054185,2.1364212
2024-03-28 13:00:00,25.33216,62.05327,1009.4614,2.9405987,0.07760041,24.765568,4.689368,5.8007183
2024-03-28 14:00:00,23.039597,57.048176,1012.079,2.3619292,-0.38758337,24.021452,3.7333856,0.6169333
2024-03-28 15:00:00,24.11222,62.41971,1010.55426,3.620571,-0.16993718,24.499798,3.4324062,3.0934374
2024-03-28 16:00:00,26.522274,59.459824,1011.8148,2.538805,0.3190863,24.555351,3.5867953,4.792525
2024-03-28 17:00:00,27.850986,58.31873,1010.6596,2.95443,0.58869493,24.600582,3.907705,2.6151514
2024-03-28 18:00:00,26.217966,59.09692,1014.1975,3.350432,0.25733915,23.67793,4.0430064,0.7874395
2024-03-28 19:00:00,24.494019,56.079334,1011.503,2.9771008,-0.092466764,23.015205,4.150722,0.74745953
2024-03-28 20:00:00,26.554096,59.32717,1015.20807,2.7389636,0.3255434,23.972445,4.5028477,-3.6098843
